Date_Scrap,Heure_Scrap,Horaire_Depart,Horaire_Arrivee,ville_depart,ville_arrivee,Gare_Depart,Gare_Arrivee,Prix_Train,Duree_Train,Escale_Train
11-Jan,17,09:05,18:40,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,25.99 €,9h35,Direct 
11-Jan,17,10:15,19:15,Paris,Stuttgart,Paris Bercy,Stuttgart,15.89 €,9h00,Direct 
11-Jan,17,16:40,01:05,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,27.99 €,8h25,Direct 
11-Jan,17,17:25,03:20,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,27.99 €,9h55,Direct 
11-Jan,17,19:15,04:10,Paris,Stuttgart,Paris Bercy,Stuttgart,26.89 €,8h55,Direct 
11-Jan,17,21:00,05:10,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,30.99 €,8h10,Direct 
