Date_Scrap,Heure_Scrap,Horaire_Depart,Horaire_Arrivee,ville_depart,ville_arrivee,Gare_Depart,Gare_Arrivee,Prix_Train,Duree_Train,Escale_Train
15-Jan,13,09:05,18:40,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,27.99 €,9h35,Direct 
15-Jan,13,10:15,19:15,Paris,Stuttgart,Paris Bercy,Stuttgart,15.89 €,9h00,Direct 
15-Jan,13,16:40,01:05,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,27.99 €,8h25,Direct 
15-Jan,13,17:25,03:20,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,27.99 €,9h55,Direct 
15-Jan,13,19:15,04:10,Paris,Stuttgart,Paris Bercy,Stuttgart,20.89 €,8h55,Direct 
15-Jan,13,21:00,05:10,Paris,Stuttgart,Bercy Seine,Stuttgart Airport Bus Terminal SAB,30.99 €,8h10,Direct 
